x_dynein,y_dynein,x_cell,y_cell,Dynein Intensity,Cell Intensity
140,506,138,506,819.1111111111111,833.7777777777778
61,507,138,506,1178.4444444444443,833.7777777777778
290,492,282,500,557.1111111111111,465.0
181,492,173,492,682.6666666666666,416.55555555555554
401,479,400,482,581.4444444444445,485.0
405,477,400,482,593.3333333333334,485.0
354,460,352,460,701.2222222222222,648.0
225,453,223,443,932.3333333333334,568.0
325,450,323,443,528.0,616.6666666666666
193,448,185,448,681.2222222222222,435.0
333,447,323,443,735.3333333333334,616.6666666666666
223,447,223,440,638.8888888888889,512.7777777777778
341,435,337,434,704.5555555555555,516.7777777777778
504,435,337,434,613.0,516.7777777777778
161,431,157,434,582.5555555555555,540.0
196,424,195,420,940.2222222222222,673.2222222222222
464,422,469,423,861.2222222222222,601.1111111111111
472,421,469,423,865.1111111111111,601.1111111111111
125,410,123,410,1007.4444444444445,798.6666666666666
277,401,275,396,855.6666666666666,574.0
280,398,275,396,823.4444444444445,574.0
126,396,116,386,1238.111111111111,598.0
300,391,290,381,808.0,393.44444444444446
377,396,290,381,1205.6666666666667,393.44444444444446
384,372,374,369,766.8888888888889,395.22222222222223
290,366,287,370,719.2222222222222,492.44444444444446
212,363,202,359,651.6666666666666,529.7777777777778
187,360,184,360,683.3333333333334,610.4444444444445
131,361,121,351,1293.4444444444443,376.1111111111111
472,347,462,348,831.3333333333334,636.8888888888889
445,343,437,333,545.4444444444445,448.1111111111111
490,348,480,338,1085.111111111111,540.1111111111111
266,339,256,329,561.5555555555555,443.0
444,328,436,328,663.6666666666666,420.0
156,337,436,328,1791.3333333333333,420.0
338,322,328,320,454.3333333333333,491.0
257,318,254,322,527.4444444444445,438.77777777777777
158,319,148,309,1434.5555555555557,562.0
475,307,478,302,711.6666666666666,572.8888888888889
382,306,376,298,859.3333333333334,565.4444444444445
300,300,290,290,675.1111111111111,500.55555555555554
357,291,357,287,558.4444444444445,468.6666666666667
265,280,268,282,580.1111111111111,546.7777777777778
128,261,118,254,690.8888888888889,439.8888888888889
164,242,154,235,661.7777777777778,431.22222222222223
205,236,201,234,561.3333333333334,594.8888888888889
79,227,69,234,534.8888888888889,421.6666666666667
159,226,154,235,687.5555555555555,431.22222222222223
394,226,390,223,727.0,526.7777777777778
404,220,394,212,537.6666666666666,439.44444444444446
274,218,274,209,1095.888888888889,613.1111111111111
472,201,468,200,610.2222222222222,548.6666666666666
472,198,468,200,697.6666666666666,548.6666666666666
481,192,471,197,535.2222222222222,803.3333333333334
61,192,54,183,830.8888888888889,496.44444444444446
505,190,499,191,632.8888888888889,585.7777777777778
69,179,59,172,766.8888888888889,660.6666666666666
61,177,53,177,737.0,501.55555555555554
141,177,137,181,795.4444444444445,647.4444444444445
307,172,301,178,834.1111111111111,444.3333333333333
448,144,441,135,751.6666666666666,674.8888888888889
62,144,52,134,822.3333333333334,625.3333333333334
249,141,239,137,921.4444444444445,491.8888888888889
409,141,399,131,1533.2222222222222,565.8888888888889
230,139,230,139,561.2222222222222,561.2222222222222
87,130,77,133,718.7777777777778,766.7777777777778
71,136,61,145,822.1111111111111,690.4444444444445
454,136,444,128,734.2222222222222,703.2222222222222
58,126,48,119,764.5555555555555,838.5555555555555
94,116,84,116,749.7777777777778,427.22222222222223
466,110,84,116,990.3333333333334,427.22222222222223
439,99,434,92,884.2222222222222,480.8888888888889
440,95,434,85,697.2222222222222,398.1111111111111
84,94,74,101,796.0,577.3333333333334
52,91,47,82,739.2222222222222,522.4444444444445
61,88,51,79,661.4444444444445,530.2222222222222
238,82,228,81,763.8888888888889,519.0
420,79,410,69,789.6666666666666,434.6666666666667
349,79,344,70,767.0,697.0
70,81,60,73,848.4444444444445,515.0
345,74,344,70,1034.2222222222222,697.0
377,71,370,61,678.3333333333334,446.3333333333333
376,56,366,52,643.4444444444445,568.7777777777778
364,55,354,45,662.4444444444445,617.2222222222222
330,54,320,47,745.0,671.4444444444445
344,47,334,38,856.6666666666666,598.4444444444445
310,46,307,46,771.4444444444445,775.2222222222222
336,44,326,49,784.4444444444445,653.7777777777778
389,48,398,57,1416.0,442.22222222222223
372,41,362,32,672.3333333333334,573.3333333333334
280,33,278,38,704.8888888888889,641.0
72,28,62,20,667.1111111111111,592.0
459,25,449,15,746.8888888888889,644.0
413,24,403,27,802.1111111111111,430.22222222222223
289,25,279,15,778.4444444444445,493.6666666666667
460,22,450,14,722.3333333333334,580.0
284,17,279,12,546.0,488.3333333333333
61,18,60,17,1157.4444444444443,1224.888888888889
433,15,423,7,702.5555555555555,537.8888888888889
35,12,25,2,858.7777777777778,506.6666666666667
344,7,334,0,845.5555555555555,564.2222222222222
467,6,457,3,751.2222222222222,575.0
311,1,301,5,695.8888888888889,536.4444444444445
